Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Akmola CHP 1 ,Hard Coal,Steam Turbine,CHP,KZ,22,,,0,0,0,1961,,,2111,51.202205,71.431861,,,
Akmola CHP 2 ,Hard Coal,Steam Turbine,CHP,KZ,360,,,0,0,0,1979,,,2129,51.190675,71.506344,,,
Jet-7 CHP,Hard Coal,Steam Turbine,CHP,KZ,180,,,0,0,0,1966,,,2116,52.483558,72.034092,,,
Aktobe CHP ,CCGT,CCGT,CHP,KZ,88,,,0,0,0,1962,,,2112,50.33618,57.14072,,,
ES AFP TNK Kazchrome,OCGT,OCGT,PP,KZ,135,,,0,0,0,1996,,,2146,50.34808,57.13376,,,
ZHGTS 56 JSC CNPC-Aktobe,OCGT,OCGT,PP,KZ,118,,,0,0,0,1999,,,2149,48.385282,57.434115,,,
ZHGTS 45 JSC CNPC-Aktobe,OCGT,OCGT,PP,KZ,34,,,0,0,0,2009,,,2159,48.385282,57.434115,,,
Almatinskaya 11,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 5,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 9,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 6,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 7,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 8,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya 10,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya HPS 8a ,Hydro,Run-Of-River,PP,KZ,0.8,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almatinskaya HPS 2,Hydro,Reservoir,PP,KZ,14.4,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almaty CHP 3,Hard Coal,Steam Turbine,CHP,KZ,173,,,0,0,0,1962,,,2112,43.423167,77.00695,,,
Almaty CHP 1 ,Hard Coal,Steam Turbine,CHP,KZ,145,,,0,0,0,1980,,,2130,43.280544,76.930175,,,
Verkhne-Almatinskaya HPS,Hydro,Reservoir,PP,KZ,15.6,,,0,0,0,1943,,,2093,43.2408,76.8507,,,
Almaty CHP 2,Hard Coal,Steam Turbine,CHP,KZ,510,,,0,0,0,1960,,,2110,43.294329,76.798834,,,
